rok;tyden;C11;C12;C13;C14;C15;C16;C1D;C21;C22;C23;C24;C25;C26;C2D
1957;16;13;40;33;24;42;45;0;0;0;0;0;0;0;0
1957;17;45;33;37;15;22;21;0;0;0;0;0;0;0;0
1957;18;49;18;19;48;23;2;0;0;0;0;0;0;0;0
1957;19;47;1;24;23;20;40;0;0;0;0;0;0;0;0
1957;20;29;40;4;14;30;5;0;0;0;0;0;0;0;0
1957;21;40;48;15;14;2;34;0;0;0;0;0;0;0;0
1957;22;29;37;20;1;26;39;0;0;0;0;0;0;0;0
1957;23;36;24;40;31;4;42;0;0;0;0;0;0;0;0
1957;24;29;36;43;46;4;17;0;0;0;0;0;0;0;0
1957;25;37;3;4;42;8;47;0;0;0;0;0;0;0;0
1957;26;33;35;37;8;28;13;0;0;0;0;0;0;0;0
1957;27;39;11;28;1;14;26;0;0;0;0;0;0;0;0
1957;28;18;25;3;43;14;4;0;0;0;0;0;0;0;0
1957;29;38;16;48;44;42;30;0;0;0;0;0;0;0;0
1957;30;7;27;11;16;2;26;0;0;0;0;0;0;0;0
1957;31;33;30;36;17;48;5;0;0;0;0;0;0;0;0
1957;32;42;19;20;6;47;40;0;0;0;0;0;0;0;0
1957;33;4;43;42;18;2;11;0;0;0;0;0;0;0;0
1957;34;17;23;13;10;29;33;0;0;0;0;0;0;0;0
1957;35;32;23;15;30;10;33;0;0;0;0;0;0;0;0
1957;36;1;10;41;18;33;17;0;0;0;0;0;0;0;0
1957;37;44;19;20;37;14;41;0;0;0;0;0;0;0;0
1957;38;19;43;29;5;8;41;0;0;0;0;0;0;0;0
1957;39;48;25;42;47;5;45;0;0;0;0;0;0;0;0
1957;40;11;41;8;42;24;1;0;0;0;0;0;0;0;0
1957;41;34;6;2;28;33;15;0;0;0;0;0;0;0;0
1957;42;5;6;27;1;38;39;0;0;0;0;0;0;0;0
1957;43;35;4;39;9;3;26;0;0;0;0;0;0;0;0
1957;44;8;32;7;37;15;43;0;0;0;0;0;0;0;0
1957;45;21;20;9;48;33;41;0;0;0;0;0;0;0;0
1957;46;42;37;11;14;1;2;0;0;0;0;0;0;0;0
1957;47;11;6;17;33;2;44;0;0;0;0;0;0;0;0
1957;48;12;44;16;45;23;43;0;0;0;0;0;0;0;0
1957;49;7;6;8;12;24;17;0;0;0;0;0;0;0;0
1957;50;34;2;20;36;25;29;0;0;0;0;0;0;0;0
1957;51;31;47;10;39;1;3;0;0;0;0;0;0;0;0
1958;1;11;37;36;1;43;46;0;0;0;0;0;0;0;0
1958;2;14;45;44;40;33;31;0;0;0;0;0;0;0;0
1958;3;23;36;31;12;29;2;0;0;0;0;0;0;0;0
1958;4;44;35;12;9;47;43;0;0;0;0;0;0;0;0
1958;5;37;11;42;40;39;8;0;0;0;0;0;0;0;0
1958;6;17;11;20;22;46;16;0;0;0;0;0;0;0;0
1958;7;8;46;36;14;29;13;0;0;0;0;0;0;0;0
1958;8;34;25;22;5;14;30;0;0;0;0;0;0;0;0
1958;9;35;11;21;33;25;24;0;0;0;0;0;0;0;0
1958;10;21;33;16;28;32;25;0;0;0;0;0;0;0;0
1958;11;48;7;4;3;11;14;0;0;0;0;0;0;0;0
1958;12;42;48;11;8;39;17;0;0;0;0;0;0;0;0
1958;13;6;25;27;8;40;17;0;0;0;0;0;0;0;0
1958;14;4;48;3;2;37;15;0;0;0;0;0;0;0;0
1958;15;6;24;14;36;25;20;0;0;0;0;0;0;0;0
1958;16;45;34;26;4;21;31;0;0;0;0;0;0;0;0
1958;17;4;40;7;12;25;26;0;0;0;0;0;0;0;0
1958;18;43;45;33;37;26;23;0;0;0;0;0;0;0;0
1958;19;44;23;48;19;47;1;0;0;0;0;0;0;0;0
1958;20;32;36;22;47;6;10;0;0;0;0;0;0;0;0
1958;21;42;27;33;32;8;11;0;0;0;0;0;0;0;0
1958;22;43;3;16;13;38;40;0;0;0;0;0;0;0;0
1958;23;1;49;36;44;27;30;0;0;0;0;0;0;0;0
1958;24;6;40;8;4;31;44;0;0;0;0;0;0;0;0
1958;25;25;36;18;30;11;9;0;0;0;0;0;0;0;0
1958;26;5;26;42;13;34;12;0;0;0;0;0;0;0;0
1958;27;15;36;44;18;33;13;0;0;0;0;0;0;0;0
1958;28;48;5;17;49;28;24;0;0;0;0;0;0;0;0
1958;29;19;48;45;9;29;24;0;0;0;0;0;0;0;0
1958;30;28;2;44;47;48;24;0;0;0;0;0;0;0;0
1958;31;29;34;38;47;49;35;0;0;0;0;0;0;0;0
1958;32;28;21;27;29;43;49;0;0;0;0;0;0;0;0
1958;33;21;39;11;1;38;7;0;0;0;0;0;0;0;0
1958;34;5;42;12;10;23;48;0;0;0;0;0;0;0;0
